document_id,url,doc_type,source_file,qualifies,reason,generic_authority_matches,specific_authority_matches,vesting_clauses
30,https://www.presidency.ucsb.edu/documents/executive-order-14388-continuing-the-suspension-duty-free-de-minimis-treatment-for-all,executive_order,4_28_2026_build_dev.csv,false,specific authority cited,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
31,https://www.presidency.ucsb.edu/documents/executive-order-14389-ending-certain-tariff-actions,executive_order,4_28_2026_build_dev.csv,false,specific authority cited,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
32,https://www.presidency.ucsb.edu/documents/executive-order-14387-promoting-the-national-defense-ensuring-adequate-supply-elemental,executive_order,4_28_2026_build_dev.csv,false,specific authority cited,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the Defense Production Act of 1950""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Defense Production Act of 1950, as amended (50 U.S.C. 4501 et seq.) (the \""Act\""), and section 301 of title 3, United States Code,""]"
35,https://www.presidency.ucsb.edu/documents/executive-order-14384-modifying-duties-address-threats-the-united-states-the-government,executive_order,4_28_2026_build_dev.csv,false,specific authority cited,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
36,https://www.presidency.ucsb.edu/documents/executive-order-14382-addressing-threats-the-united-states-the-government-iran,executive_order,4_28_2026_build_dev.csv,false,specific authority cited,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
37,https://www.presidency.ucsb.edu/documents/executive-order-14385-protecting-the-national-security-and-welfare-the-united-states-and,executive_order,4_28_2026_build_dev.csv,false,specific authority cited,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""6 U.S.C.""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including 6 U.S.C. 122(a)(2),""]"
38,https://www.presidency.ucsb.edu/documents/executive-order-14381-celebrating-american-greatness-with-american-motor-racing,executive_order,4_28_2026_build_dev.csv,true,generic authority only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
39,https://www.presidency.ucsb.edu/documents/executive-order-14379-addressing-addiction-through-the-great-american-recovery-initiative,executive_order,4_28_2026_build_dev.csv,true,generic authority only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
40,https://www.presidency.ucsb.edu/documents/executive-order-14380-addressing-threats-the-united-states-the-government-cuba,executive_order,4_28_2026_build_dev.csv,false,specific authority cited,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}, {""rule"": ""presidential_title_invocation"", ""text"": ""I, Donald J. Trump, President of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), and section 301 of title 3, United States Code,"", ""Now, Therefore, I, Donald J. Trump, President of the United States of America, find that the situation with respect to Cuba constitutes an unusual and extraordinary threat, which has its source in whole or substantial part outside the United States,""]"
41,https://www.presidency.ucsb.edu/documents/executive-order-14378-continuance-the-federal-emergency-management-agency-review-council,executive_order,4_28_2026_build_dev.csv,false,specific authority cited,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""legal_title"", ""text"": ""title 5""}, {""rule"": ""legal_chapter"", ""text"": ""chapter 10""}, {""rule"": ""named_act"", ""text"": ""the Federal Advisory Committee Act""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, and consistent with chapter 10 of title 5, United States Code (commonly known as the Federal Advisory Committee Act),""]"
